/root/miniconda3/envs/subset/lib/python3.9/site-packages/torch/nn/modules/transformer.py:508: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. We recommend specifying layout=torch.jagged when constructing a nested tensor, as this layout receives active development, has better operator coverage, and works with torch.compile. (Triggered internally at /pytorch/aten/src/ATen/NestedTensorImpl.cpp:178.)
  output = torch._nested_tensor_from_mask(
--- DTA Baseline: Hard Random (Ratio: 0.2) ---

>>> [Stage 0] Sampling...

[Sampler] Running Hard Random | Target: 4991/24956 (20.0%)
-> Source reduced: 24956 -> 4991

=== Phase 1: Source Pre-training ===
[P1] Ep 1: Loss 2.7196 | Val MAE 1.9605
[P1] Ep 2: Loss 1.1280 | Val MAE 2.0649
[P1] Ep 3: Loss 1.0385 | Val MAE 1.9557
[P1] Ep 4: Loss 0.9659 | Val MAE 2.0179
[P1] Ep 5: Loss 0.9275 | Val MAE 2.1599
[P1] Ep 6: Loss 0.8844 | Val MAE 2.0761
[P1] Ep 7: Loss 0.8752 | Val MAE 2.0556
[P1] Ep 8: Loss 0.8464 | Val MAE 2.1002
[P1] Ep 9: Loss 0.8297 | Val MAE 2.1465
[P1] Ep 10: Loss 0.8560 | Val MAE 1.9888
[P1] Ep 11: Loss 0.8359 | Val MAE 2.0292
[P1] Ep 12: Loss 0.8150 | Val MAE 2.0157
[P1] Ep 13: Loss 0.7898 | Val MAE 2.2116
[P1] Ep 14: Loss 0.8014 | Val MAE 2.1336
[P1] Ep 15: Loss 0.7856 | Val MAE 2.1284
[P1] Ep 16: Loss 0.8004 | Val MAE 2.0867
[P1] Ep 17: Loss 0.7921 | Val MAE 1.8823
[P1] Ep 18: Loss 0.7796 | Val MAE 2.1176
[P1] Ep 19: Loss 0.7450 | Val MAE 2.0424
[P1] Ep 20: Loss 0.7729 | Val MAE 2.0425
[P1] Ep 21: Loss 0.7303 | Val MAE 1.9208
[P1] Ep 22: Loss 0.7437 | Val MAE 2.1123
[P1] Ep 23: Loss 0.7502 | Val MAE 1.9540
[P1] Ep 24: Loss 0.7377 | Val MAE 1.9967
[P1] Ep 25: Loss 0.7353 | Val MAE 1.9947
[P1] Ep 26: Loss 0.7063 | Val MAE 2.0411
[P1] Ep 27: Loss 0.6995 | Val MAE 2.0683
[P1] Ep 28: Loss 0.6851 | Val MAE 1.8277
[P1] Ep 29: Loss 0.7140 | Val MAE 2.1380
[P1] Ep 30: Loss 0.6746 | Val MAE 1.9998
[P1] Ep 31: Loss 0.6828 | Val MAE 1.9980
[P1] Ep 32: Loss 0.6684 | Val MAE 1.8966
[P1] Ep 33: Loss 0.6781 | Val MAE 2.0130
[P1] Ep 34: Loss 0.6855 | Val MAE 1.9375
[P1] Ep 35: Loss 0.6844 | Val MAE 1.8589
[P1] Ep 36: Loss 0.6746 | Val MAE 1.9103
[P1] Ep 37: Loss 0.6595 | Val MAE 1.8989
[P1] Ep 38: Loss 0.6674 | Val MAE 1.9246
[P1] Ep 39: Loss 0.6740 | Val MAE 1.9716
[P1] Ep 40: Loss 0.6609 | Val MAE 1.8441
[P1] Ep 41: Loss 0.6512 | Val MAE 1.9419
[P1] Ep 42: Loss 0.6704 | Val MAE 1.9450
[P1] Ep 43: Loss 0.6571 | Val MAE 2.0860
[P1] Ep 44: Loss 0.6539 | Val MAE 1.8871
[P1] Ep 45: Loss 0.6716 | Val MAE 1.9787
[P1] Ep 46: Loss 0.6434 | Val MAE 1.9396
[P1] Ep 47: Loss 0.6582 | Val MAE 2.1133
[P1] Ep 48: Loss 0.6393 | Val MAE 1.9229
[P1] Ep 49: Loss 0.6281 | Val MAE 2.0288
[P1] Ep 50: Loss 0.6247 | Val MAE 2.0410
[P1] Ep 51: Loss 0.6485 | Val MAE 2.0437
[P1] Ep 52: Loss 0.6462 | Val MAE 2.1073
[P1] Ep 53: Loss 0.6323 | Val MAE 1.8965
[P1] Ep 54: Loss 0.6204 | Val MAE 1.8473
[P1] Ep 55: Loss 0.6478 | Val MAE 1.9323
[P1] Ep 56: Loss 0.6145 | Val MAE 2.0307
[P1] Ep 57: Loss 0.6121 | Val MAE 1.9905
[P1] Ep 58: Loss 0.6100 | Val MAE 1.9756
[P1] Ep 59: Loss 0.6127 | Val MAE 2.0093
[P1] Ep 60: Loss 0.6202 | Val MAE 1.9437
[P1] Ep 61: Loss 0.6047 | Val MAE 1.9828
[P1] Ep 62: Loss 0.6080 | Val MAE 1.9022
[P1] Ep 63: Loss 0.5982 | Val MAE 2.0209
[P1] Ep 64: Loss 0.6355 | Val MAE 2.0293
[P1] Ep 65: Loss 0.6000 | Val MAE 1.8095
[P1] Ep 66: Loss 0.6178 | Val MAE 1.9162
[P1] Ep 67: Loss 0.5988 | Val MAE 1.9315
[P1] Ep 68: Loss 0.5924 | Val MAE 1.9678
[P1] Ep 69: Loss 0.5878 | Val MAE 1.8598
[P1] Ep 70: Loss 0.5831 | Val MAE 1.8900
[P1] Ep 71: Loss 0.5785 | Val MAE 1.8142
[P1] Ep 72: Loss 0.5928 | Val MAE 1.9452
[P1] Ep 73: Loss 0.5876 | Val MAE 1.8855
[P1] Ep 74: Loss 0.5774 | Val MAE 1.8946
[P1] Ep 75: Loss 0.5849 | Val MAE 1.9093
[P1] Ep 76: Loss 0.5889 | Val MAE 1.9002
[P1] Ep 77: Loss 0.5843 | Val MAE 1.9299
[P1] Ep 78: Loss 0.5715 | Val MAE 1.9402
