/root/miniconda3/envs/subset/lib/python3.9/site-packages/torch/nn/modules/transformer.py:508: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. We recommend specifying layout=torch.jagged when constructing a nested tensor, as this layout receives active development, has better operator coverage, and works with torch.compile. (Triggered internally at /pytorch/aten/src/ATen/NestedTensorImpl.cpp:178.)
  output = torch._nested_tensor_from_mask(
--- DTA Baseline: Hard Random (Ratio: 0.6) ---

>>> [Stage 0] Sampling...

[Sampler] Running Hard Random | Target: 14973/24956 (60.0%)
-> Source reduced: 24956 -> 14973

=== Phase 1: Source Pre-training ===
[P1] Ep 1: Loss 1.6771 | Val MAE 1.9924
[P1] Ep 2: Loss 0.9050 | Val MAE 2.1326
[P1] Ep 3: Loss 0.8479 | Val MAE 2.0227
[P1] Ep 4: Loss 0.8165 | Val MAE 2.0353
[P1] Ep 5: Loss 0.8003 | Val MAE 2.1484
[P1] Ep 6: Loss 0.7854 | Val MAE 2.1047
[P1] Ep 7: Loss 0.7653 | Val MAE 1.9228
[P1] Ep 8: Loss 0.7482 | Val MAE 2.0282
[P1] Ep 9: Loss 0.7290 | Val MAE 2.0531
[P1] Ep 10: Loss 0.7081 | Val MAE 1.9219
[P1] Ep 11: Loss 0.6915 | Val MAE 2.0633
[P1] Ep 12: Loss 0.6991 | Val MAE 1.9265
[P1] Ep 13: Loss 0.6970 | Val MAE 2.1265
[P1] Ep 14: Loss 0.6787 | Val MAE 2.1318
[P1] Ep 15: Loss 0.6754 | Val MAE 1.9874
[P1] Ep 16: Loss 0.6722 | Val MAE 2.0568
[P1] Ep 17: Loss 0.6694 | Val MAE 2.1242
[P1] Ep 18: Loss 0.6560 | Val MAE 2.0086
[P1] Ep 19: Loss 0.6588 | Val MAE 2.0247
[P1] Ep 20: Loss 0.6615 | Val MAE 2.0626
[P1] Ep 21: Loss 0.6403 | Val MAE 2.1447
[P1] Ep 22: Loss 0.6401 | Val MAE 2.0843
[P1] Ep 23: Loss 0.6346 | Val MAE 2.0705
[P1] Ep 24: Loss 0.6330 | Val MAE 2.0287
[P1] Ep 25: Loss 0.6373 | Val MAE 2.1187
[P1] Ep 26: Loss 0.6228 | Val MAE 1.9946
[P1] Ep 27: Loss 0.6110 | Val MAE 2.0919
[P1] Ep 28: Loss 0.6162 | Val MAE 2.0518
[P1] Ep 29: Loss 0.6148 | Val MAE 2.0959
[P1] Ep 30: Loss 0.6055 | Val MAE 2.0869
[P1] Ep 31: Loss 0.6032 | Val MAE 2.1506
[P1] Ep 32: Loss 0.5996 | Val MAE 2.0460
[P1] Ep 33: Loss 0.5927 | Val MAE 2.0599
[P1] Ep 34: Loss 0.5837 | Val MAE 1.9964
[P1] Ep 35: Loss 0.5819 | Val MAE 2.1061
[P1] Ep 36: Loss 0.5819 | Val MAE 2.1253
[P1] Ep 37: Loss 0.5690 | Val MAE 1.9630
[P1] Ep 38: Loss 0.5724 | Val MAE 2.1128
[P1] Ep 39: Loss 0.5608 | Val MAE 2.0140
[P1] Ep 40: Loss 0.5512 | Val MAE 2.0427
[P1] Ep 41: Loss 0.5591 | Val MAE 2.1540
[P1] Ep 42: Loss 0.5629 | Val MAE 1.9637
[P1] Ep 43: Loss 0.5421 | Val MAE 2.0382
[P1] Ep 44: Loss 0.5377 | Val MAE 1.9772
[P1] Ep 45: Loss 0.5408 | Val MAE 2.0299
[P1] Ep 46: Loss 0.5300 | Val MAE 2.0910
[P1] Ep 47: Loss 0.5254 | Val MAE 2.0567
[P1] Ep 48: Loss 0.5206 | Val MAE 2.0273
[P1] Ep 49: Loss 0.5259 | Val MAE 2.1839
[P1] Ep 50: Loss 0.5243 | Val MAE 1.9993
[P1] Ep 51: Loss 0.5075 | Val MAE 2.0194
[P1] Ep 52: Loss 0.5080 | Val MAE 2.0210
[P1] Ep 53: Loss 0.5032 | Val MAE 1.9683
[P1] Ep 54: Loss 0.4931 | Val MAE 1.9372
[P1] Ep 55: Loss 0.5066 | Val MAE 1.9798
[P1] Ep 56: Loss 0.4971 | Val MAE 2.0643
[P1] Ep 57: Loss 0.4859 | Val MAE 2.0163
[P1] Ep 58: Loss 0.4815 | Val MAE 2.0447
[P1] Ep 59: Loss 0.4851 | Val MAE 1.9155
[P1] Ep 60: Loss 0.4719 | Val MAE 1.9815
[P1] Ep 61: Loss 0.4705 | Val MAE 1.9788
[P1] Ep 62: Loss 0.4680 | Val MAE 2.0731
[P1] Ep 63: Loss 0.4637 | Val MAE 1.9327
[P1] Ep 64: Loss 0.4620 | Val MAE 2.0621
[P1] Ep 65: Loss 0.4702 | Val MAE 1.9749
[P1] Ep 66: Loss 0.4618 | Val MAE 1.9439
[P1] Ep 67: Loss 0.4621 | Val MAE 2.0508
[P1] Ep 68: Loss 0.4465 | Val MAE 1.9859
[P1] Ep 69: Loss 0.4508 | Val MAE 2.0293
[P1] Ep 70: Loss 0.4568 | Val MAE 2.1829
[P1] Ep 71: Loss 0.4430 | Val MAE 2.1080
[P1] Ep 72: Loss 0.4437 | Val MAE 2.0422
[P1] Ep 73: Loss 0.4470 | Val MAE 2.0705
[P1] Ep 74: Loss 0.4351 | Val MAE 2.0416
[P1] Ep 75: Loss 0.4338 | Val MAE 1.9859
[P1] Ep 76: Loss 0.4308 | Val MAE 2.0228
[P1] Ep 77: Loss 0.4192 | Val MAE 2.1067
[P1] Ep 78: Loss 0.4262 | Val MAE 2.1814
[P1] Ep 79: Loss 0.4238 | Val MAE 1.9077
