/root/miniconda3/envs/subset/lib/python3.9/site-packages/torch/nn/modules/transformer.py:508: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. We recommend specifying layout=torch.jagged when constructing a nested tensor, as this layout receives active development, has better operator coverage, and works with torch.compile. (Triggered internally at /pytorch/aten/src/ATen/NestedTensorImpl.cpp:178.)
  output = torch._nested_tensor_from_mask(
--- DTA Baseline: Hard Random (Ratio: 0.6) ---

>>> [Stage 0] Sampling...

[Sampler] Running Hard Random | Target: 14973/24956 (60.0%)
-> Source reduced: 24956 -> 14973

=== Phase 1: Source Pre-training ===
[P1] Ep 1: Loss 1.5600 | Val MAE 1.8690
[P1] Ep 2: Loss 0.9092 | Val MAE 2.0142
[P1] Ep 3: Loss 0.8516 | Val MAE 2.1014
[P1] Ep 4: Loss 0.8219 | Val MAE 2.0060
[P1] Ep 5: Loss 0.8107 | Val MAE 2.0803
[P1] Ep 6: Loss 0.7983 | Val MAE 2.1516
[P1] Ep 7: Loss 0.7825 | Val MAE 1.9334
[P1] Ep 8: Loss 0.7628 | Val MAE 2.0759
[P1] Ep 9: Loss 0.7470 | Val MAE 1.9440
[P1] Ep 10: Loss 0.7356 | Val MAE 1.8159
[P1] Ep 11: Loss 0.7058 | Val MAE 1.8619
[P1] Ep 12: Loss 0.7014 | Val MAE 1.7586
[P1] Ep 13: Loss 0.7000 | Val MAE 1.9804
[P1] Ep 14: Loss 0.6859 | Val MAE 2.0270
[P1] Ep 15: Loss 0.6730 | Val MAE 1.8662
[P1] Ep 16: Loss 0.6795 | Val MAE 1.9383
[P1] Ep 17: Loss 0.6697 | Val MAE 1.9462
[P1] Ep 18: Loss 0.6614 | Val MAE 1.8969
[P1] Ep 19: Loss 0.6649 | Val MAE 1.8919
[P1] Ep 20: Loss 0.6640 | Val MAE 1.9495
[P1] Ep 21: Loss 0.6706 | Val MAE 1.9897
[P1] Ep 22: Loss 0.6418 | Val MAE 1.8815
[P1] Ep 23: Loss 0.6507 | Val MAE 1.9970
[P1] Ep 24: Loss 0.6365 | Val MAE 1.9265
[P1] Ep 25: Loss 0.6283 | Val MAE 1.8917
[P1] Ep 26: Loss 0.6352 | Val MAE 1.8781
[P1] Ep 27: Loss 0.6227 | Val MAE 1.9015
[P1] Ep 28: Loss 0.6266 | Val MAE 1.8543
[P1] Ep 29: Loss 0.6098 | Val MAE 1.9822
[P1] Ep 30: Loss 0.6096 | Val MAE 1.9254
[P1] Ep 31: Loss 0.5939 | Val MAE 1.9396
[P1] Ep 32: Loss 0.6050 | Val MAE 1.9444
[P1] Ep 33: Loss 0.5923 | Val MAE 1.9070
[P1] Ep 34: Loss 0.5862 | Val MAE 1.9942
[P1] Ep 35: Loss 0.5760 | Val MAE 2.0386
[P1] Ep 36: Loss 0.5767 | Val MAE 1.9870
[P1] Ep 37: Loss 0.5722 | Val MAE 1.8395
[P1] Ep 38: Loss 0.5623 | Val MAE 2.1010
[P1] Ep 39: Loss 0.5544 | Val MAE 1.8529
[P1] Ep 40: Loss 0.5484 | Val MAE 1.9485
[P1] Ep 41: Loss 0.5566 | Val MAE 2.0646
[P1] Ep 42: Loss 0.5439 | Val MAE 1.8473
[P1] Ep 43: Loss 0.5394 | Val MAE 1.9294
[P1] Ep 44: Loss 0.5287 | Val MAE 1.8791
[P1] Ep 45: Loss 0.5423 | Val MAE 1.9453
[P1] Ep 46: Loss 0.5258 | Val MAE 1.9849
[P1] Ep 47: Loss 0.5249 | Val MAE 1.9217
[P1] Ep 48: Loss 0.5095 | Val MAE 1.9580
[P1] Ep 49: Loss 0.5171 | Val MAE 1.8544
[P1] Ep 50: Loss 0.5037 | Val MAE 1.8630
[P1] Ep 51: Loss 0.5118 | Val MAE 1.7765
[P1] Ep 52: Loss 0.5051 | Val MAE 1.9094
[P1] Ep 53: Loss 0.4965 | Val MAE 1.8063
[P1] Ep 54: Loss 0.4883 | Val MAE 1.7856
[P1] Ep 55: Loss 0.5053 | Val MAE 1.8165
[P1] Ep 56: Loss 0.4864 | Val MAE 1.8448
[P1] Ep 57: Loss 0.4812 | Val MAE 1.8581
[P1] Ep 58: Loss 0.4803 | Val MAE 1.8570
[P1] Ep 59: Loss 0.4651 | Val MAE 1.7034
[P1] Ep 60: Loss 0.4792 | Val MAE 1.7877
[P1] Ep 61: Loss 0.4707 | Val MAE 1.7164
[P1] Ep 62: Loss 0.4668 | Val MAE 1.8952
[P1] Ep 63: Loss 0.4732 | Val MAE 1.7468
[P1] Ep 64: Loss 0.4568 | Val MAE 1.8835
[P1] Ep 65: Loss 0.4567 | Val MAE 1.7941
[P1] Ep 66: Loss 0.4552 | Val MAE 1.7233
[P1] Ep 67: Loss 0.4593 | Val MAE 1.8636
[P1] Ep 68: Loss 0.4504 | Val MAE 1.8337
[P1] Ep 69: Loss 0.4496 | Val MAE 1.9249
[P1] Ep 70: Loss 0.4413 | Val MAE 1.8392
[P1] Ep 71: Loss 0.4458 | Val MAE 1.8488
[P1] Ep 72: Loss 0.4473 | Val MAE 1.8901
[P1] Ep 73: Loss 0.4306 | Val MAE 1.8468
[P1] Ep 74: Loss 0.4330 | Val MAE 1.8487
[P1] Ep 75: Loss 0.4282 | Val MAE 1.8520
[P1] Ep 76: Loss 0.4210 | Val MAE 1.8379
[P1] Ep 77: Loss 0.4239 | Val MAE 1.7788
[P1] Ep 78: Loss 0.4182 | Val MAE 1.8880
[P1] Ep 79: Loss 0.4258 | Val MAE 1.7557
