/root/miniconda3/envs/subset/lib/python3.9/site-packages/torch/nn/modules/transformer.py:508: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. We recommend specifying layout=torch.jagged when constructing a nested tensor, as this layout receives active development, has better operator coverage, and works with torch.compile. (Triggered internally at /pytorch/aten/src/ATen/NestedTensorImpl.cpp:178.)
  output = torch._nested_tensor_from_mask(
--- DTA Baseline: Hard Random (Ratio: 0.4) ---

>>> [Stage 0] Sampling...

[Sampler] Running Hard Random | Target: 9982/24956 (40.0%)
-> Source reduced: 24956 -> 9982

=== Phase 1: Source Pre-training ===
[P1] Ep 1: Loss 2.0222 | Val MAE 1.7220
[P1] Ep 2: Loss 0.9777 | Val MAE 2.0670
[P1] Ep 3: Loss 0.9249 | Val MAE 2.2867
[P1] Ep 4: Loss 0.8829 | Val MAE 2.0092
[P1] Ep 5: Loss 0.8324 | Val MAE 2.0369
[P1] Ep 6: Loss 0.8085 | Val MAE 2.0791
[P1] Ep 7: Loss 0.8043 | Val MAE 2.1674
[P1] Ep 8: Loss 0.7957 | Val MAE 1.9724
[P1] Ep 9: Loss 0.7671 | Val MAE 2.0742
[P1] Ep 10: Loss 0.7783 | Val MAE 2.0365
[P1] Ep 11: Loss 0.7572 | Val MAE 2.1656
[P1] Ep 12: Loss 0.7461 | Val MAE 2.0411
[P1] Ep 13: Loss 0.7378 | Val MAE 2.0070
[P1] Ep 14: Loss 0.7375 | Val MAE 2.0053
[P1] Ep 15: Loss 0.6945 | Val MAE 2.0030
[P1] Ep 16: Loss 0.7105 | Val MAE 2.0808
[P1] Ep 17: Loss 0.6870 | Val MAE 2.0580
[P1] Ep 18: Loss 0.6821 | Val MAE 2.0818
[P1] Ep 19: Loss 0.6779 | Val MAE 2.1041
[P1] Ep 20: Loss 0.6796 | Val MAE 2.0240
[P1] Ep 21: Loss 0.6691 | Val MAE 2.0880
[P1] Ep 22: Loss 0.6533 | Val MAE 2.1174
[P1] Ep 23: Loss 0.6702 | Val MAE 2.1236
[P1] Ep 24: Loss 0.6630 | Val MAE 2.1072
[P1] Ep 25: Loss 0.6522 | Val MAE 2.1253
[P1] Ep 26: Loss 0.6567 | Val MAE 2.0614
[P1] Ep 27: Loss 0.6554 | Val MAE 2.0250
[P1] Ep 28: Loss 0.6322 | Val MAE 2.0727
[P1] Ep 29: Loss 0.6355 | Val MAE 2.1213
[P1] Ep 30: Loss 0.6542 | Val MAE 2.2279
[P1] Ep 31: Loss 0.6493 | Val MAE 2.0306
[P1] Ep 32: Loss 0.6322 | Val MAE 1.9690
[P1] Ep 33: Loss 0.6306 | Val MAE 2.0707
[P1] Ep 34: Loss 0.6328 | Val MAE 2.0188
[P1] Ep 35: Loss 0.6291 | Val MAE 2.1124
[P1] Ep 36: Loss 0.6298 | Val MAE 2.0916
[P1] Ep 37: Loss 0.6224 | Val MAE 2.0780
[P1] Ep 38: Loss 0.6213 | Val MAE 2.0353
[P1] Ep 39: Loss 0.6286 | Val MAE 2.0708
[P1] Ep 40: Loss 0.6126 | Val MAE 2.0175
[P1] Ep 41: Loss 0.6056 | Val MAE 2.0536
