/root/miniconda3/envs/subset/lib/python3.9/site-packages/torch/nn/modules/transformer.py:508: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. We recommend specifying layout=torch.jagged when constructing a nested tensor, as this layout receives active development, has better operator coverage, and works with torch.compile. (Triggered internally at /pytorch/aten/src/ATen/NestedTensorImpl.cpp:178.)
  output = torch._nested_tensor_from_mask(
--- DTA Baseline: Hard Random (Ratio: 0.8) ---

>>> [Stage 0] Sampling...

[Sampler] Running Hard Random | Target: 19964/24956 (80.0%)
-> Source reduced: 24956 -> 19964

=== Phase 1: Source Pre-training ===
[P1] Ep 1: Loss 1.4590 | Val MAE 2.0717
[P1] Ep 2: Loss 0.8736 | Val MAE 1.9319
[P1] Ep 3: Loss 0.8368 | Val MAE 2.0347
[P1] Ep 4: Loss 0.8114 | Val MAE 2.0741
[P1] Ep 5: Loss 0.7686 | Val MAE 2.0477
[P1] Ep 6: Loss 0.7615 | Val MAE 2.0890
[P1] Ep 7: Loss 0.7393 | Val MAE 2.0409
[P1] Ep 8: Loss 0.7248 | Val MAE 2.0132
[P1] Ep 9: Loss 0.7059 | Val MAE 2.0424
[P1] Ep 10: Loss 0.6956 | Val MAE 1.9924
[P1] Ep 11: Loss 0.6841 | Val MAE 2.0091
[P1] Ep 12: Loss 0.6795 | Val MAE 2.0362
[P1] Ep 13: Loss 0.6834 | Val MAE 2.1320
[P1] Ep 14: Loss 0.6655 | Val MAE 2.0715
[P1] Ep 15: Loss 0.6605 | Val MAE 1.9817
[P1] Ep 16: Loss 0.6445 | Val MAE 2.0284
[P1] Ep 17: Loss 0.6476 | Val MAE 2.0610
[P1] Ep 18: Loss 0.6420 | Val MAE 2.0116
[P1] Ep 19: Loss 0.6353 | Val MAE 2.0628
[P1] Ep 20: Loss 0.6326 | Val MAE 2.0375
[P1] Ep 21: Loss 0.6327 | Val MAE 2.0511
[P1] Ep 22: Loss 0.6240 | Val MAE 2.1021
[P1] Ep 23: Loss 0.6114 | Val MAE 2.0474
[P1] Ep 24: Loss 0.6154 | Val MAE 1.9496
[P1] Ep 25: Loss 0.6160 | Val MAE 2.0278
[P1] Ep 26: Loss 0.5945 | Val MAE 2.0628
[P1] Ep 27: Loss 0.6008 | Val MAE 1.9121
[P1] Ep 28: Loss 0.5906 | Val MAE 1.9337
[P1] Ep 29: Loss 0.5804 | Val MAE 1.9397
[P1] Ep 30: Loss 0.5844 | Val MAE 2.0374
[P1] Ep 31: Loss 0.5775 | Val MAE 2.0133
[P1] Ep 32: Loss 0.5700 | Val MAE 2.1909
[P1] Ep 33: Loss 0.5649 | Val MAE 1.9776
[P1] Ep 34: Loss 0.5649 | Val MAE 1.8467
[P1] Ep 35: Loss 0.5582 | Val MAE 1.9639
[P1] Ep 36: Loss 0.5458 | Val MAE 1.8758
[P1] Ep 37: Loss 0.5474 | Val MAE 1.9331
[P1] Ep 38: Loss 0.5420 | Val MAE 1.9819
[P1] Ep 39: Loss 0.5241 | Val MAE 1.9741
[P1] Ep 40: Loss 0.5279 | Val MAE 1.8550
[P1] Ep 41: Loss 0.5253 | Val MAE 2.0220
[P1] Ep 42: Loss 0.5168 | Val MAE 1.9787
[P1] Ep 43: Loss 0.5100 | Val MAE 1.6600
[P1] Ep 44: Loss 0.5119 | Val MAE 1.9273
[P1] Ep 45: Loss 0.5080 | Val MAE 1.8524
[P1] Ep 46: Loss 0.4957 | Val MAE 1.8666
[P1] Ep 47: Loss 0.4972 | Val MAE 1.9768
[P1] Ep 48: Loss 0.4959 | Val MAE 1.8734
[P1] Ep 49: Loss 0.4894 | Val MAE 1.8184
[P1] Ep 50: Loss 0.4839 | Val MAE 2.0036
[P1] Ep 51: Loss 0.4890 | Val MAE 1.7748
[P1] Ep 52: Loss 0.4728 | Val MAE 1.8334
[P1] Ep 53: Loss 0.4741 | Val MAE 1.8305
[P1] Ep 54: Loss 0.4766 | Val MAE 1.8310
[P1] Ep 55: Loss 0.4667 | Val MAE 1.8915
[P1] Ep 56: Loss 0.4679 | Val MAE 1.9072
[P1] Ep 57: Loss 0.4601 | Val MAE 1.9148
[P1] Ep 58: Loss 0.4527 | Val MAE 1.9450
[P1] Ep 59: Loss 0.4492 | Val MAE 1.9793
[P1] Ep 60: Loss 0.4501 | Val MAE 1.9196
[P1] Ep 61: Loss 0.4474 | Val MAE 1.8646
[P1] Ep 62: Loss 0.4399 | Val MAE 1.8862
[P1] Ep 63: Loss 0.4374 | Val MAE 1.9127
[P1] Ep 64: Loss 0.4254 | Val MAE 1.8467
[P1] Ep 65: Loss 0.4262 | Val MAE 1.8903
[P1] Ep 66: Loss 0.4360 | Val MAE 1.8691
[P1] Ep 67: Loss 0.4215 | Val MAE 1.8361
[P1] Ep 68: Loss 0.4215 | Val MAE 1.9011
[P1] Ep 69: Loss 0.4188 | Val MAE 1.9360
[P1] Ep 70: Loss 0.4111 | Val MAE 1.8342
[P1] Ep 71: Loss 0.4177 | Val MAE 1.8337
[P1] Ep 72: Loss 0.4152 | Val MAE 1.8651
[P1] Ep 73: Loss 0.4060 | Val MAE 1.8948
[P1] Ep 74: Loss 0.4069 | Val MAE 1.7295
[P1] Ep 75: Loss 0.4041 | Val MAE 1.9006
[P1] Ep 76: Loss 0.3990 | Val MAE 1.8779
[P1] Ep 77: Loss 0.3931 | Val MAE 1.7784
[P1] Ep 78: Loss 0.3930 | Val MAE 1.8195
[P1] Ep 79: Loss 0.3868 | Val MAE 1.7892
[P1] Ep 80: Loss 0.3874 | Val MAE 1.7437
[P1] Ep 81: Loss 0.3784 | Val MAE 1.9482
[P1] Ep 82: Loss 0.3818 | Val MAE 1.8029
[P1] Ep 83: Loss 0.3750 | Val MAE 1.8680
[P1] Ep 84: Loss 0.3729 | Val MAE 1.8887
[P1] Ep 85: Loss 0.3713 | Val MAE 1.8766
[P1] Ep 86: Loss 0.3795 | Val MAE 1.7095
[P1] Ep 87: Loss 0.3658 | Val MAE 1.7454
[P1] Ep 88: Loss 0.3633 | Val MAE 1.8340
[P1] Ep 89: Loss 0.3547 | Val MAE 1.6931
[P1] Ep 90: Loss 0.3572 | Val MAE 1.8421
[P1] Ep 91: Loss 0.3530 | Val MAE 1.7311
[P1] Ep 92: Loss 0.3515 | Val MAE 1.7412
[P1] Ep 93: Loss 0.3489 | Val MAE 1.7217
[P1] Ep 94: Loss 0.3426 | Val MAE 1.7636
[P1] Ep 95: Loss 0.3480 | Val MAE 1.7456
[P1] Ep 96: Loss 0.3434 | Val MAE 1.8056
[P1] Ep 97: Loss 0.3411 | Val MAE 1.8086
[P1] Ep 98: Loss 0.3395 | Val MAE 1.7862
[P1] Ep 99: Loss 0.3294 | Val MAE 1.6798
[P1] Ep 100: Loss 0.3287 | Val MAE 1.6963
[P1] Ep 101: Loss 0.3241 | Val MAE 1.7546
[P1] Ep 102: Loss 0.3207 | Val MAE 1.8039
[P1] Ep 103: Loss 0.3184 | Val MAE 1.8132
[P1] Ep 104: Loss 0.3166 | Val MAE 1.7452
[P1] Ep 105: Loss 0.3070 | Val MAE 1.8105
[P1] Ep 106: Loss 0.3109 | Val MAE 1.7629
[P1] Ep 107: Loss 0.3031 | Val MAE 1.7435
