--- DTA Baseline: Herding (Ratio: 0.8) ---

>>> [Stage 0] Sampling...

[Sampler] Running Herding | Target: 19964/24956 (80.0%)
[P1] Ep 2: Loss 0.9371 | Val MAE 1.9857
[P1] Ep 3: Loss 0.8454 | Val MAE 2.0969
[P1] Ep 4: Loss 0.8252 | Val MAE 2.1630
[P1] Ep 5: Loss 0.8025 | Val MAE 2.0877
[P1] Ep 6: Loss 0.7741 | Val MAE 2.0698
[P1] Ep 7: Loss 0.7611 | Val MAE 2.1013
[P1] Ep 8: Loss 0.7453 | Val MAE 1.9735
[P1] Ep 9: Loss 0.7200 | Val MAE 2.0979
[P1] Ep 10: Loss 0.7183 | Val MAE 2.0188
[P1] Ep 11: Loss 0.7124 | Val MAE 2.0096
[P1] Ep 12: Loss 0.7054 | Val MAE 1.9875
[P1] Ep 13: Loss 0.6889 | Val MAE 2.0175
[P1] Ep 14: Loss 0.6926 | Val MAE 1.9189
[P1] Ep 15: Loss 0.6881 | Val MAE 1.9300
[P1] Ep 16: Loss 0.6876 | Val MAE 2.0164
[P1] Ep 17: Loss 0.6686 | Val MAE 1.9176
[P1] Ep 18: Loss 0.6580 | Val MAE 1.9463
[P1] Ep 19: Loss 0.6703 | Val MAE 2.0430
[P1] Ep 20: Loss 0.6509 | Val MAE 1.9876
[P1] Ep 21: Loss 0.6426 | Val MAE 2.0199
[P1] Ep 22: Loss 0.6547 | Val MAE 2.0912
[P1] Ep 23: Loss 0.6388 | Val MAE 1.9130
[P1] Ep 24: Loss 0.6396 | Val MAE 1.9475
[P1] Ep 25: Loss 0.6344 | Val MAE 2.1258
[P1] Ep 26: Loss 0.6295 | Val MAE 2.0847
[P1] Ep 27: Loss 0.6241 | Val MAE 1.9760
[P1] Ep 28: Loss 0.6183 | Val MAE 1.9808
[P1] Ep 29: Loss 0.6133 | Val MAE 1.9678
[P1] Ep 30: Loss 0.6097 | Val MAE 2.0173
[P1] Ep 31: Loss 0.6086 | Val MAE 2.0287
[P1] Ep 32: Loss 0.6092 | Val MAE 2.1093
[P1] Ep 33: Loss 0.5978 | Val MAE 1.9318
[P1] Ep 34: Loss 0.5968 | Val MAE 1.9993
[P1] Ep 35: Loss 0.5873 | Val MAE 2.0089
[P1] Ep 36: Loss 0.5829 | Val MAE 2.0538
[P1] Ep 37: Loss 0.5742 | Val MAE 2.0977
[P1] Ep 38: Loss 0.5774 | Val MAE 2.1092
[P1] Ep 39: Loss 0.5635 | Val MAE 2.0578
[P1] Ep 40: Loss 0.5607 | Val MAE 1.9802
[P1] Ep 41: Loss 0.5550 | Val MAE 2.0036
[P1] Ep 42: Loss 0.5590 | Val MAE 2.0018
[P1] Ep 43: Loss 0.5402 | Val MAE 1.9562
[P1] Ep 44: Loss 0.5390 | Val MAE 1.9930
[P1] Ep 45: Loss 0.5355 | Val MAE 1.8453
[P1] Ep 46: Loss 0.5305 | Val MAE 2.1250
[P1] Ep 47: Loss 0.5315 | Val MAE 2.0124
[P1] Ep 48: Loss 0.5295 | Val MAE 2.0004
[P1] Ep 49: Loss 0.5272 | Val MAE 1.9048
[P1] Ep 50: Loss 0.5144 | Val MAE 1.9377
[P1] Ep 51: Loss 0.5106 | Val MAE 2.1366
[P1] Ep 52: Loss 0.5033 | Val MAE 1.9583
[P1] Ep 53: Loss 0.4977 | Val MAE 2.0198
[P1] Ep 54: Loss 0.5009 | Val MAE 2.0177
[P1] Ep 55: Loss 0.4989 | Val MAE 2.1745
[P1] Ep 56: Loss 0.4964 | Val MAE 2.1678
[P1] Ep 57: Loss 0.4839 | Val MAE 1.9909
[P1] Ep 58: Loss 0.4832 | Val MAE 2.0923
[P1] Ep 59: Loss 0.4791 | Val MAE 2.0060
[P1] Ep 60: Loss 0.4805 | Val MAE 1.9872
[P1] Ep 61: Loss 0.4701 | Val MAE 1.9526
[P1] Ep 62: Loss 0.4656 | Val MAE 1.9490
[P1] Ep 63: Loss 0.4678 | Val MAE 2.0945
[P1] Ep 64: Loss 0.4707 | Val MAE 1.9577
[P1] Ep 65: Loss 0.4617 | Val MAE 1.9763
[P1] Ep 66: Loss 0.4576 | Val MAE 2.0349
[P1] Ep 67: Loss 0.4567 | Val MAE 1.9606
[P1] Ep 68: Loss 0.4512 | Val MAE 1.8906
[P1] Ep 69: Loss 0.4429 | Val MAE 1.8074
[P1] Ep 70: Loss 0.4523 | Val MAE 1.9244
[P1] Ep 71: Loss 0.4503 | Val MAE 1.9124
[P1] Ep 72: Loss 0.4440 | Val MAE 1.9544
[P1] Ep 73: Loss 0.4318 | Val MAE 1.9248
[P1] Ep 74: Loss 0.4398 | Val MAE 1.9771
[P1] Ep 75: Loss 0.4295 | Val MAE 1.8611
[P1] Ep 76: Loss 0.4305 | Val MAE 1.9579
[P1] Ep 77: Loss 0.4308 | Val MAE 2.0325
[P1] Ep 78: Loss 0.4211 | Val MAE 1.7343
[P1] Ep 79: Loss 0.4196 | Val MAE 1.9237
[P1] Ep 80: Loss 0.4242 | Val MAE 1.8528
[P1] Ep 81: Loss 0.4179 | Val MAE 1.9396
[P1] Ep 82: Loss 0.4162 | Val MAE 1.9199
[P1] Ep 83: Loss 0.4136 | Val MAE 1.8557
[P1] Ep 84: Loss 0.4181 | Val MAE 1.8416
[P1] Ep 85: Loss 0.4053 | Val MAE 1.9145
[P1] Ep 86: Loss 0.4097 | Val MAE 1.8980
[P1] Ep 87: Loss 0.4042 | Val MAE 2.0066
[P1] Ep 88: Loss 0.4010 | Val MAE 1.8833
[P1] Ep 89: Loss 0.3974 | Val MAE 1.9187
[P1] Ep 90: Loss 0.3930 | Val MAE 1.9186
[P1] Ep 91: Loss 0.3940 | Val MAE 1.8380
[P1] Ep 92: Loss 0.3895 | Val MAE 1.8870
[P1] Ep 93: Loss 0.3887 | Val MAE 1.9196
[P1] Ep 94: Loss 0.3837 | Val MAE 1.8432
[P1] Ep 95: Loss 0.3757 | Val MAE 1.7592
[P1] Ep 96: Loss 0.3784 | Val MAE 1.8653
[P1] Ep 97: Loss 0.3667 | Val MAE 1.9146
[P1] Ep 98: Loss 0.3706 | Val MAE 1.8789
[P1] Ep 99: Loss 0.3654 | Val MAE 1.8962
[P1] Ep 100: Loss 0.3706 | Val MAE 1.8440
[P1] Ep 101: Loss 0.3669 | Val MAE 1.9131
[P1] Ep 102: Loss 0.3672 | Val MAE 1.9406
[P1] Ep 103: Loss 0.3672 | Val MAE 1.9718
[P1] Ep 104: Loss 0.3562 | Val MAE 1.8216
[P1] Ep 105: Loss 0.3509 | Val MAE 1.8423
[P1] Ep 106: Loss 0.3484 | Val MAE 1.8721
[P1] Ep 107: Loss 0.3502 | Val MAE 1.8078
[P1] Ep 108: Loss 0.3468 | Val MAE 1.8929
[P1] Ep 109: Loss 0.3430 | Val MAE 1.8176
[P1] Ep 110: Loss 0.3446 | Val MAE 1.9215
[P1] Ep 111: Loss 0.3310 | Val MAE 1.8767
[P1] Ep 112: Loss 0.3342 | Val MAE 1.8872
[P1] Ep 113: Loss 0.3330 | Val MAE 2.0078
[P1] Ep 114: Loss 0.3306 | Val MAE 1.9260
[P1] Ep 115: Loss 0.3269 | Val MAE 1.8983
[P1] Ep 116: Loss 0.3275 | Val MAE 1.7842
[P1] Ep 117: Loss 0.3199 | Val MAE 1.9127
[P1] Ep 118: Loss 0.3210 | Val MAE 1.9646
[P1] Ep 119: Loss 0.3188 | Val MAE 1.8585
[P1] Ep 120: Loss 0.3215 | Val MAE 1.8875
[P1] Ep 121: Loss 0.3174 | Val MAE 1.9203
[P1] Ep 122: Loss 0.3123 | Val MAE 2.0243
[P1] Ep 123: Loss 0.3017 | Val MAE 1.9103
[P1] Ep 124: Loss 0.3081 | Val MAE 1.8758
[P1] Ep 125: Loss 0.3016 | Val MAE 1.8188
[P1] Ep 126: Loss 0.2994 | Val MAE 1.9973
[P1] Ep 127: Loss 0.2962 | Val MAE 1.9230
[P1] Ep 128: Loss 0.2950 | Val MAE 1.8479
[P1] Ep 129: Loss 0.2932 | Val MAE 1.8177
[P1] Ep 130: Loss 0.2856 | Val MAE 1.8660
[P1] Ep 131: Loss 0.2856 | Val MAE 1.7897
[P1] Ep 132: Loss 0.2889 | Val MAE 1.9079
[P1] Ep 133: Loss 0.2803 | Val MAE 1.9077
[P1] Ep 134: Loss 0.2814 | Val MAE 1.8987
[P1] Ep 135: Loss 0.2792 | Val MAE 1.9079
[P1] Ep 136: Loss 0.2703 | Val MAE 1.9079
[P1] Ep 137: Loss 0.2784 | Val MAE 2.0489
[P1] Ep 138: Loss 0.2696 | Val MAE 1.9882
[P1] Ep 139: Loss 0.2655 | Val MAE 1.7674
[P1] Ep 140: Loss 0.2626 | Val MAE 1.8735
[P1] Ep 141: Loss 0.2629 | Val MAE 1.9524
[P1] Ep 142: Loss 0.2618 | Val MAE 1.8056
[P1] Ep 143: Loss 0.2608 | Val MAE 1.9621
[P1] Ep 144: Loss 0.2548 | Val MAE 1.9639
[P1] Ep 145: Loss 0.2500 | Val MAE 1.9251
[P1] Ep 146: Loss 0.2553 | Val MAE 2.0008
[P1] Ep 147: Loss 0.2560 | Val MAE 2.0314
[P1] Ep 148: Loss 0.2510 | Val MAE 1.9270
[P1] Ep 149: Loss 0.2511 | Val MAE 2.0093
[P1] Ep 150: Loss 0.2431 | Val MAE 1.9691
[P1] Ep 151: Loss 0.2399 | Val MAE 2.0396
[P1] Ep 152: Loss 0.2402 | Val MAE 1.9031
[P1] Ep 153: Loss 0.2387 | Val MAE 1.9003
[P1] Ep 154: Loss 0.2401 | Val MAE 1.9639
[P1] Ep 155: Loss 0.2447 | Val MAE 1.9712
[P1] Ep 156: Loss 0.2414 | Val MAE 2.0212
[P1] Ep 157: Loss 0.2365 | Val MAE 1.8883
[P1] Ep 158: Loss 0.2307 | Val MAE 1.9232
[P1] Ep 159: Loss 0.2288 | Val MAE 1.9676
[P1] Ep 160: Loss 0.2273 | Val MAE 2.0379
[P1] Ep 161: Loss 0.2283 | Val MAE 1.9670
[P1] Ep 162: Loss 0.2235 | Val MAE 1.9540
[P1] Ep 163: Loss 0.2245 | Val MAE 1.8507
[P1] Ep 164: Loss 0.2186 | Val MAE 1.8762
[P1] Ep 165: Loss 0.2183 | Val MAE 1.8911
[P1] Ep 166: Loss 0.2230 | Val MAE 1.7822
[P1] Ep 167: Loss 0.2231 | Val MAE 1.8778
[P1] Ep 168: Loss 0.2140 | Val MAE 1.9849
[P1] Ep 169: Loss 0.2179 | Val MAE 1.9782
[P1] Ep 170: Loss 0.2133 | Val MAE 1.8003
[P1] Ep 171: Loss 0.2147 | Val MAE 1.9131
[P1] Ep 172: Loss 0.2069 | Val MAE 1.9055
[P1] Ep 173: Loss 0.2057 | Val MAE 1.8810
[P1] Ep 174: Loss 0.2071 | Val MAE 1.9935
[P1] Ep 175: Loss 0.2017 | Val MAE 1.8442
[P1] Ep 176: Loss 0.2050 | Val MAE 1.9022
[P1] Ep 177: Loss 0.2055 | Val MAE 1.8722
[P1] Ep 178: Loss 0.1983 | Val MAE 1.8110
[P1] Ep 179: Loss 0.1957 | Val MAE 1.8780
[P1] Ep 180: Loss 0.1910 | Val MAE 1.8720
[P1] Ep 181: Loss 0.1982 | Val MAE 1.8962
[P1] Ep 182: Loss 0.1929 | Val MAE 1.8790
[P1] Ep 183: Loss 0.1890 | Val MAE 1.7966
[P1] Ep 184: Loss 0.1865 | Val MAE 1.8739
[P1] Ep 185: Loss 0.1874 | Val MAE 1.7909
[P1] Ep 186: Loss 0.1888 | Val MAE 1.8713
[P1] Ep 187: Loss 0.1869 | Val MAE 1.8340
[P1] Ep 188: Loss 0.1870 | Val MAE 1.9196
[P1] Ep 189: Loss 0.1863 | Val MAE 1.9031
[P1] Ep 190: Loss 0.1819 | Val MAE 1.8408
[P1] Ep 191: Loss 0.1823 | Val MAE 1.8849
[P1] Ep 192: Loss 0.1827 | Val MAE 1.8010
[P1] Ep 193: Loss 0.1762 | Val MAE 1.9381
[P1] Ep 194: Loss 0.1783 | Val MAE 1.8453
[P1] Ep 195: Loss 0.1806 | Val MAE 1.9607
[P1] Ep 196: Loss 0.1788 | Val MAE 1.7891
[P1] Ep 197: Loss 0.1747 | Val MAE 1.8418
[P1] Ep 198: Loss 0.1736 | Val MAE 1.9640
[P1] Ep 199: Loss 0.1710 | Val MAE 1.7904
[P1] Ep 200: Loss 0.1695 | Val MAE 1.9127

=== Phase 2: Target Fine-tuning ===
Freezing backbone layers...
[FT] Ep 1: Loss 8.3190 | Val MAE 1.5725 CI 0.4620
[FT] Ep 2: Loss 7.9130 | Val MAE 1.5142 CI 0.4561
[FT] Ep 3: Loss 7.6117 | Val MAE 1.4754 CI 0.4912
[FT] Ep 4: Loss 6.7264 | Val MAE 1.4405 CI 0.5263
[FT] Ep 5: Loss 7.2656 | Val MAE 1.4181 CI 0.5380
[FT] Ep 6: Loss 7.1933 | Val MAE 1.4088 CI 0.5556
[FT] Ep 7: Loss 6.4938 | Val MAE 1.4210 CI 0.5789
[FT] Ep 8: Loss 6.4577 | Val MAE 1.4383 CI 0.5614
[FT] Ep 9: Loss 6.3272 | Val MAE 1.4525 CI 0.5789
[FT] Ep 10: Loss 6.1983 | Val MAE 1.4660 CI 0.5731
[FT] Ep 11: Loss 5.9861 | Val MAE 1.4759 CI 0.5789
[FT] Ep 12: Loss 5.6325 | Val MAE 1.4887 CI 0.5965
[FT] Ep 13: Loss 5.6465 | Val MAE 1.5032 CI 0.6023
[FT] Ep 14: Loss 5.5657 | Val MAE 1.5150 CI 0.6140
[FT] Ep 15: Loss 5.6576 | Val MAE 1.5316 CI 0.6023
[FT] Ep 16: Loss 5.4921 | Val MAE 1.5464 CI 0.6082
[FT] Ep 17: Loss 5.1456 | Val MAE 1.5573 CI 0.6023
[FT] Ep 18: Loss 5.7312 | Val MAE 1.5665 CI 0.5731
[FT] Ep 19: Loss 5.5441 | Val MAE 1.5794 CI 0.5731
[FT] Ep 20: Loss 5.2542 | Val MAE 1.5927 CI 0.5789
[FT] Ep 21: Loss 4.9531 | Val MAE 1.6049 CI 0.5789
[FT] Ep 22: Loss 4.9262 | Val MAE 1.6179 CI 0.5789
[FT] Ep 23: Loss 5.2537 | Val MAE 1.6334 CI 0.5614
[FT] Ep 24: Loss 5.0237 | Val MAE 1.6453 CI 0.5497
[FT] Ep 25: Loss 5.1670 | Val MAE 1.6562 CI 0.5556
[FT] Ep 26: Loss 4.9139 | Val MAE 1.6695 CI 0.5322
[FT] Ep 27: Loss 4.9202 | Val MAE 1.6821 CI 0.5205
[FT] Ep 28: Loss 5.2165 | Val MAE 1.6947 CI 0.5146
[FT] Ep 29: Loss 4.8359 | Val MAE 1.7048 CI 0.5029
[FT] Ep 30: Loss 4.8064 | Val MAE 1.7122 CI 0.5029
[FT] Ep 31: Loss 4.9916 | Val MAE 1.7209 CI 0.5088
[FT] Ep 32: Loss 4.8595 | Val MAE 1.7331 CI 0.5146
[FT] Ep 33: Loss 4.7808 | Val MAE 1.7403 CI 0.5146
[FT] Ep 34: Loss 4.7174 | Val MAE 1.7460 CI 0.4912
[FT] Ep 35: Loss 4.6163 | Val MAE 1.7472 CI 0.4854
[FT] Ep 36: Loss 4.8350 | Val MAE 1.7516 CI 0.4912
[FT] Ep 37: Loss 4.8794 | Val MAE 1.7491 CI 0.4912
[FT] Ep 38: Loss 4.8132 | Val MAE 1.7498 CI 0.4912
[FT] Ep 39: Loss 4.7740 | Val MAE 1.7489 CI 0.4912
[FT] Ep 40: Loss 4.6236 | Val MAE 1.7495 CI 0.4854
[FT] Ep 41: Loss 4.7684 | Val MAE 1.7513 CI 0.5029
[FT] Ep 42: Loss 4.5706 | Val MAE 1.7523 CI 0.4971
[FT] Ep 43: Loss 4.5065 | Val MAE 1.7482 CI 0.4912
[FT] Ep 44: Loss 4.6851 | Val MAE 1.7511 CI 0.4854
[FT] Ep 45: Loss 4.4745 | Val MAE 1.7553 CI 0.4912
[FT] Ep 46: Loss 4.9571 | Val MAE 1.7549 CI 0.4912
[FT] Ep 47: Loss 4.5416 | Val MAE 1.7532 CI 0.4854
[FT] Ep 48: Loss 4.2454 | Val MAE 1.7519 CI 0.4854
[FT] Ep 49: Loss 4.7519 | Val MAE 1.7503 CI 0.4854
[FT] Ep 50: Loss 4.2681 | Val MAE 1.7458 CI 0.4854
[FT] Ep 51: Loss 4.5679 | Val MAE 1.7461 CI 0.4912
[FT] Ep 52: Loss 4.3461 | Val MAE 1.7441 CI 0.4912
[FT] Ep 53: Loss 4.4825 | Val MAE 1.7429 CI 0.4854
[FT] Ep 54: Loss 4.4029 | Val MAE 1.7436 CI 0.4912
[FT] Ep 55: Loss 4.2607 | Val MAE 1.7431 CI 0.4912
[FT] Ep 56: Loss 4.6890 | Val MAE 1.7372 CI 0.4912
Early stopping triggered.

>>> Final Test Evaluation
------------------------------------------------------------
[BASELINE RESULT] Method: Herding
   MAE:  1.4456
   RMSE: 1.8172
   CI:   0.5316
   RM2:  0.0053
   MAPE: 24.17 %
   Acc:  30.00 %
------------------------------------------------------------
